"","county","pop"
"1","Anderson",59120
"2","Andrews",19588
"3","Angelina",90669
"4","Aransas",23649
"5","Archer",9135
"6","Armstrong",2028
"7","Atascosa",51233
"8","Austin",32344
"9","Bailey",7082
"10","Bandera",23360
"11","Bastrop",90262
"12","Baylor",3754
"13","Bee",33571
"14","Bell",362093
"15","Bexar",2006193
"16","Blanco",12365
"17","Borden",686
"18","Bosque",19146
"19","Bowie",95897
"20","Brazoria",382874
"21","Brazos",233071
"22","Brewster",9055
"23","Briscoe",1599
"24","Brooks",7060
"25","Brown",38874
"26","Burleson",18361
"27","Burnet",49225
"28","Caldwell",43501
"29","Calhoun",22058
"30","Callahan",14027
"31","Cameron",426144
"32","Camp",12936
"33","Carson",5875
"34","Cass",30243
"35","Castro",7260
"36","Chambers",44944
"37","Cherokee",53558
"38","Childress",7052
"39","Clay",10317
"40","Cochran",2890
"41","Coke",3400
"42","Coleman",8041
"43","Collin",1047901
"44","Collingsworth",2802
"45","Colorado",22566
"46","Comal",161328
"47","Comanche",13848
"48","Concho",2715
"49","Cooke",40685
"50","Coryell",75657
"51","Cottle",1346
"52","Crane",4670
"53","Crockett",3465
"54","Crosby",5658
"55","Culberson",2228
"56","Dallam",6929
"57","Dallas",2647627
"58","Dawson",12652
"59","Deaf Smith",19572
"60","Delta",5304
"61","Denton",904005
"62","De Witt",20459
"63","Dickens",2054
"64","Dimmit",9426
"65","Donley",3170
"66","Duval",10860
"67","Eastland",18278
"68","Ector",169394
"69","Edwards",1979
"70","Ellis",191469
"71","El Paso",851888
"72","Erath",43110
"73","Falls",17432
"74","Fannin",36727
"75","Fayette",26522
"76","Fisher",3897
"77","Floyd",5445
"78","Foard",1102
"79","Fort Bend",818912
"80","Franklin",10792
"81","Freestone",20732
"82","Frio",18937
"83","Gaines",21258
"84","Galveston",341146
"85","Garza",5978
"86","Gillespie",27617
"87","Glasscock",1363
"88","Goliad",8127
"89","Gonzales",20819
"90","Gray",21900
"91","Grayson",136052
"92","Gregg",126225
"93","Grimes",29730
"94","Guadalupe",169139
"95","Hale",32864
"96","Hall",2969
"97","Hamilton",8637
"98","Hansford",5288
"99","Hardeman",3873
"100","Hardin",59592
"101","Harris",4703708
"102","Harrison",68703
"103","Hartley",5887
"104","Haskell",5572
"105","Hays",232080
"106","Hemphill",3827
"107","Henderson",83220
"108","Hidalgo",888958
"109","Hill",37470
"110","Hockley",22603
"111","Hood",61387
"112","Hopkins",37475
"113","Houston",23439
"114","Howard",36421
"115","Hudspeth",3683
"116","Hunt",98685
"117","Hutchinson",20439
"118","Irion",1584
"119","Jack",9305
"120","Jackson",14256
"121","Jasper",35353
"122","Jeff Davis",2408
"123","Jefferson",250803
"124","Jim Hogg",5079
"125","Jim Wells",39759
"126","Johnson",175987
"127","Jones",19745
"128","Karnes",15778
"129","Kaufman",140667
"130","Kendall",47700
"131","Kenedy",378
"132","Kent",754
"133","Kerr",53024
"134","Kimble",4581
"135","King",275
"136","Kinney",3594
"137","Kleberg",32158
"138","Knox",3796
"139","Lamar",50436
"140","Lamb",12412
"141","Lampasas",21395
"142","La Salle",7391
"143","Lavaca",20511
"144","Lee",17432
"145","Leon",17649
"146","Liberty",93496
"147","Limestone",23654
"148","Lipscomb",3153
"149","Live Oak",12208
"150","Llano",21890
"151","Loving",96
"152","Lubbock",309880
"153","Lynn",6243
"154","McCulloch",8313
"155","McLennan",255372
"156","McMullen",748
"157","Madison",14088
"158","Marion",9662
"159","Martin",5739
"160","Mason",4318
"161","Matagorda",36158
"162","Maverick",58116
"163","Medina",54612
"164","Menard",2124
"165","Midland",179232
"166","Milam",25157
"167","Mills",4875
"168","Mitchell",8685
"169","Montague",19712
"170","Montgomery",609172
"171","Moore",20902
"172","Morris",12468
"173","Motley",1196
"174","Nacogdoches",64850
"175","Navarro",52973
"176","Newton",13103
"177","Nolan",14150
"178","Nueces",363776
"179","Ochiltree",10246
"180","Oldham",2131
"181","Orange",82168
"182","Palo Pinto",29069
"183","Panola",24611
"184","Parker",143504
"185","Parmer",9325
"186","Pecos",15033
"187","Polk",50717
"188","Potter",115471
"189","Presidio",6302
"190","Rains",12493
"191","Randall",138549
"192","Reagan",3895
"193","Real",3464
"194","Red River",11479
"195","Reeves",16400
"196","Refugio",6844
"197","Roberts",832
"198","Robertson",17613
"199","Rockwall",105969
"200","Runnels",10218
"201","Rusk",54764
"202","Sabine",10859
"203","San Augustine",8409
"204","San Jacinto",29652
"205","San Patricio",67033
"206","San Saba",6223
"207","Schleicher",2727
"208","Scurry",16556
"209","Shackelford",3415
"210","Shelby",24054
"211","Sherman",3072
"212","Smith",232675
"213","Somervell",9605
"214","Starr",63688
"215","Stephens",9506
"216","Sterling",1239
"217","Stonewall",1380
"218","Sutton",3619
"219","Swisher",7435
"220","Tarrant",2063496
"221","Taylor",139083
"222","Terrell",776
"223","Terry",12538
"224","Throckmorton",1407
"225","Titus",33596
"226","Tom Green",117791
"227","Travis",1285526
"228","Trinity",14457
"229","Tyler",22966
"230","Upshur",41262
"231","Upton",3581
"232","Uvalde",26260
"233","Val Verde",50988
"234","Van Zandt",56503
"235","Victoria",90940
"236","Walker",77300
"237","Waller",55626
"238","Ward",11635
"239","Washington",35612
"240","Webb",280547
"241","Wharton",41279
"242","Wheeler",5168
"243","Wichita",132756
"244","Wilbarger",12393
"245","Willacy",21502
"246","Williamson",602686
"247","Wilson",52839
"248","Winkler",8145
"249","Wise",70078
"250","Wood",45528
"251","Yoakum",8773
"252","Young",19294
"253","Zapata",14280
"254","Zavala",12077
"255","State of Texas",29149480
